ID,Время создания,"Как часто ты читаешь книги/статьи/учебные материалы, которые хочешь запомнить надолго?","Сталкивался ли ты с тем, что прочитанное быстро забывается? ","Какие методы для запоминания информации ты уже пробовал (конспекты, повторение, приложения)? Почему они не идеальны?",Пробовал ли ты метод интервального повторения?,Что самое сложное в запоминании прочитанного? / Не хватает времени повторять,Что самое сложное в запоминании прочитанного? / Нет системы,Что самое сложное в запоминании прочитанного? / Лень,"Что самое сложное в запоминании прочитанного? / Нет кого-то, кто бы контролировал этот процесс","Представь, что у тебя появится ИИ-ментор, который постоянно проверяет твои знания и подсказывает, что повторить. Во сколько рублей ты оценил бы комфорт и пользу от такого сервиса в месяц?",Где тебе удобнее общаться с ИИ-ментором?,Хотел бы ты видеть статистику по своим успехам в запоминании?,Какие еще фичи были бы полезны?,Твой возраст,Твой пол,Твоя профессия,"Если готов участвовать в тестировании продукта, укажи свой Telegram"
2127030682,2025-08-16 22:00:55,Иногда,Да,"Конспекты, повторение, ассоциации. Да вполне рабочие методы, больше от ресурса и свежести сознания зависит)","Да, мне помогает",,,Лень,,До 100 р в месяц,Телеграм,Да,Соревновательный компонент),39,М,Смм,
2127034242,2025-08-16 22:11:49,Часто,Да,"Самоучитель по скорочтению Питера Кампа
Показался слишком нудным",Нет,Не хватает времени повторять,Нет системы,Лень,,До 100 р в месяц,На веб-страничке,Да,,41,М,инженер,
2127035962,2025-08-16 22:17:10,Часто,Да,,"Да, мне помогает",,,Лень,,До 500 р в месяц,На веб-страничке,Да,,35,М,инженер энергетик,@yarronius2
2127037268,2025-08-16 22:21:06,Иногда,Да,,"Да, мне помогает",,Нет системы,,,Бесплатно,Телеграм,Да,,36,М,-,
2127076121,2025-08-17 02:20:21,Иногда,Да,"Конспекты и повторения хорошо работают (доказано различными исследованиями), но редко получается выделить на это достаточно времени ",Нет,Не хватает времени повторять,,,,Бесплатно,Телеграм,Да,Сложно предложить ,39,М,Техник ,@addaclic
2127077909,2025-08-17 02:47:43,Часто,Да,"Конспекты, повторения. Главный минус что это требует времени и то что забрасываешь из-за этого.","Да, но мне не зашло",Не хватает времени повторять,,Лень,"Нет кого-то, кто бы контролировал этот процесс",Бесплатно,На веб-страничке,Да,,23,М,Data Science,
2127081987,2025-08-17 03:56:54,Часто,Да,"Для меня самый эффективный — это запоминание по карточкам, но их долго делать. Записывая конспекты сложно и мало, что запоминаю. Повторение забывается, если это зазубрено на короткую дистанцию. Приложения иногда могут создавать игровой азарт и хочется проходить на идеально, из-за этого может быть эффективно в какой-то мере и не теряется вовлеченность ахаах Я так на дуалинго начал немецкий изучать и ходить на международный экз сдавать его.","Да, мне помогает",,,Лень,,До 1000 р в месяц,Телеграм,Да,"Мотивационные пинки
Рейтинг для соревновательности. Тип: друзья изучают час в приложении — ты тоже нагоняй
Семейная подписка ахахха
Ежедневный бонус, как статистика, кол-во дней в обучении ",22,М,Студент,@flourvic
2127083088,2025-08-17 04:15:27,Часто,Да,,"Да, мне помогает",,,Лень,,Бесплатно,Телеграм,Да,,16,Ж,10 класс,
2127087955,2025-08-17 05:20:43,Часто,Да,"Курсы, мало практики и потому быстро забывается",Нет,,Нет системы,,,До 100 р в месяц,Телеграм,Да,"Если будет давать практические задания для запоминания.

В изучении английского и китайского пригодится озвучания речи",38,М,IT специалист,@accordij
2127088125,2025-08-17 05:22:34,Часто,Да,Не всегда эффективно и слишком время затратно,"Да, мне помогает",Не хватает времени повторять,Нет системы,Лень,,До 500 р в месяц,Телеграм,Да,,23,Ж,Безработный маргинал,
2127088304,2025-08-17 05:24:44,Часто,Нет,"Конспекты. Долго писать, а тетрадки теряются.",Нет,,Нет системы,,,До 100 р в месяц,Телеграм,Да,"В изучении иностранных языков пригодится озвучание речи, текстов.

Так же я бы хотел от ИИ помощника практических заданий",38,М,ИТ специалист,@accordij
2127091935,2025-08-17 06:00:13,Иногда,Да,Конспекты и повторения,Нет,,,Лень,,До 500 р в месяц,Телеграм,Да,Добавить соревнование между пользователями,22,Ж,Backend develop,@loco151416
2127093406,2025-08-17 06:12:15,Часто,Да,"Обычно конспекты или повторное чтение, реже -- практическое применение, если возможно. 

На всё нужно дополнительное время, особенно если материал сложный.",Нет,Не хватает времени повторять,Нет системы,,,Бесплатно,На веб-страничке,Да,"Уведомления, выгрузка статистики",23,М,DevOps Engineer ,
2127093986,2025-08-17 06:17:23,Иногда,Да,"Повторение, конспекты  - занимает много времени ",Нет,Не хватает времени повторять,,,,До 100 р в месяц,Телеграм,Да,,19,Ж,Студент,vi_valueva
2127094035,2025-08-17 06:17:56,Иногда,Да,Повторение,Нет,,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",Бесплатно,Телеграм,Да,,43,М,Начинающий айтишник,
2127094301,2025-08-17 06:20:16,Иногда,Да,Все методы  пробовала.,"Да, мне помогает",Не хватает времени повторять,,,,Бесплатно,Телеграм,Да,Голосовые подсказки ,41,Ж,Риэлтор ,
2127094787,2025-08-17 06:24:46,Часто,Да,,Нет,Не хватает времени повторять,,Лень,"Нет кого-то, кто бы контролировал этот процесс",Не буду пользоваться,На веб-страничке,Да,,25,М,Безработица ,
2127095406,2025-08-17 06:29:34,Иногда,Да,,"Да, мне помогает",Не хватает времени повторять,Нет системы,Лень,,До 100 р в месяц,На веб-страничке,Да,,27,М,Разработчик ,
2127096125,2025-08-17 06:35:05,Иногда,Да,"Повторное прочтение
Выписывание тезисов ",Нет,Не хватает времени повторять,Нет системы,Лень,,До 500 р в месяц,Телеграм,Да,,32,Ж,Комьюнити-менеджер,@kate_roshen
2127097122,2025-08-17 06:42:32,Иногда,Да,"Конспекты , не всегда есть возможность записать, пересказ ",Нет,Не хватает времени повторять,Нет системы,,,Не буду пользоваться,Телеграм,Нет,,31,Ж,HR,@kurdashik
2127097315,2025-08-17 06:43:53,Часто,Да,"Конспекты, ассоциации, применение на практике  ",Нет,,Нет системы,,,До 500 р в месяц,Телеграм,Да,,24,М,Специалист по поварскому и кондитерскому делу,@egor_bochmanov
2127097561,2025-08-17 06:45:35,Иногда,Да,"Конспекты, они не всегда под рукой ",Нет,,Нет системы,,,До 1000 р в месяц,Телеграм,Да,,26,Ж,Работа с людьми ,
2127098049,2025-08-17 06:48:29,Иногда,Да,"Создаю библиотеку. Записываю все в таблицы архивирую. С указанием координат информации.
На мой вгляд нет предела совершенству. Нужна скурпулезность. Другие не понимают, зачем столько времени уделять на запись и обновление. Поэтому конвертирую в ПК","Да, но мне не зашло",Не хватает времени повторять,Нет системы,Лень,,Бесплатно,На веб-страничке,Нет,Отсортировать и удалить лишнюю информацию. Прекратить подгонять все в стандарт. Не бывает двух одинаковых людей. ,38,М,"Инженер промышленного и гражданского строительства, предприниматель, обучаюсь по ветке датасайнс",89627395666
2127099384,2025-08-17 06:57:13,Иногда,Да,"Конспекты. Пишу от руки, чтобы лучше запомнить и обратиться к записям в будущем (не обращаюсь) ",Нет,Не хватает времени повторять,,,,До 500 р в месяц,Телеграм,Да,,25,Ж,Руководитель ,@ina_berseneva
2127100244,2025-08-17 07:02:34,Иногда,Да,,Нет,,,,"Нет кого-то, кто бы контролировал этот процесс",Не буду пользоваться,На веб-страничке,Нет,,30,Ж,IT,
2127106004,2025-08-17 07:33:34,Часто,Да,,Нет,Не хватает времени повторять,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",До 500 р в месяц,На веб-страничке,Да,,21,Ж,Преподаватель ,
2127107258,2025-08-17 07:39:20,Часто,Нет,"Контекстное чтение, чтение блоками ",Нет,Не хватает времени повторять,,,,До 500 р в месяц,Телеграм,Да,,30,М,Гигачад,
2127108219,2025-08-17 07:44:01,Часто,Да,"Mindmap, конспект",Нет,Не хватает времени повторять,,,"Нет кого-то, кто бы контролировал этот процесс",До 1000 р в месяц,Телеграм,Да,,42,Ж,Руководитель,Rodionova zinaida
2127109829,2025-08-17 07:51:43,Никогда,Нет,,"Да, мне помогает",,,Лень,,До 500 р в месяц,На веб-страничке,Да,,22,Ж,-,
2127112811,2025-08-17 08:04:49,Часто,Да,,Нет,,Нет системы,Лень,,До 500 р в месяц,На веб-страничке,Да,,24,М,Frontend developer,@Devonte
2127112918,2025-08-17 08:05:15,Иногда,Да,,"Да, мне помогает",,Нет системы,,"Нет кого-то, кто бы контролировал этот процесс",До 500 р в месяц,Телеграм,Да,"Похвала от ии-метора;
Анонимизированная статистика по всем участникам: «Вы входите в 10% участников, которые повторяют каждый день»-пример",27,Ж,Менеджер проектов,V.domanina
2127113669,2025-08-17 08:08:30,Часто,Да,,"Да, мне помогает",,Нет системы,,"Нет кого-то, кто бы контролировал этот процесс",До 100 р в месяц,Телеграм,Да,"На неправильный ответ давать короткое объяснение почему ответ не будет являться верным , что верно и почему",24,Ж,Инженер ,
2127113797,2025-08-17 08:09:02,Иногда,Да,,Нет,,Нет системы,,,До 500 р в месяц,Телеграм,Да,Рекомендации по учебным материалам,33,М,Менеджер проектов,kirillxvii
2127114873,2025-08-17 08:14:08,Иногда,Да,,"Да, но мне не зашло",Не хватает времени повторять,,,,До 100 р в месяц,Телеграм,Нет,,22,Ж,Системный аналитик ,elllinnik 
2127115072,2025-08-17 08:14:58,Иногда,Да,"Цитаты хорошо работают для меня. Конспект иногда. Минусы что нужно много текста, но теряется смысл иногда.","Да, но мне не зашло",,Нет системы,,"Нет кого-то, кто бы контролировал этот процесс",До 500 р в месяц,Телеграм,Да,"Возможность настройки, тип не ежедневно, а раз в неделю.",24,М,Разработчик,
2127115334,2025-08-17 08:16:14,Иногда,Да,,Нет,Не хватает времени повторять,Нет системы,Лень,,Бесплатно,На веб-страничке,Да,,24,Ж,Разработчик,
2127115551,2025-08-17 08:17:25,Иногда,Да,"Все из скобок — занимает много времени, а работа и сон подвинуться не могут. Самая беда — запоминание материала из аудиокниг","Да, но мне не зашло",Не хватает времени повторять,,,"Нет кого-то, кто бы контролировал этот процесс",До 100 р в месяц,Телеграм,Да,,23,Ж,Backend SDE,
2127116563,2025-08-17 08:21:42,Иногда,Да,,Нет,Не хватает времени повторять,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",До 500 р в месяц,Телеграм,Да,,22,Ж,Профессия :))))),
2127116871,2025-08-17 08:23:05,Иногда,Да,"1. Читаю - > читаю + конспектирую - > вспоминаю информацию по конспекту
2. Могут забываться важные детали и конспект постепенно превращается в переписываетесь статьи целиком ","Да, мне помогает",,,Лень,,Не буду пользоваться,На веб-страничке,Да,,26,Ж,Project manager ,
2127117606,2025-08-17 08:26:17,Часто,Да,"Пробовал все, самостоятельное составление майнд карт мне зашло больше всего. Неидеальны, т.к. каждый метод требует дополнительного ресурса и внимания.","Да, мне помогает",,,Лень,,Бесплатно,На веб-страничке,Да,"ненавязчивость и рациональный выбор того, что действительно важно",30,М,ai engineer,
2127117876,2025-08-17 08:27:34,Часто,Да,,Нет,,Нет системы,,,Не буду пользоваться,Телеграм,Да,,20,М,слесарь,
2127118710,2025-08-17 08:31:15,Иногда,Да,"Конспекты, не идеально потому что лень их писать
Повторение, не идеально потому что не всегда получается запомнить",Нет,,Нет системы,Лень,,Бесплатно,Телеграм,Да,"Тесты, поиск ошибок, придумывание заданий, график прогресса",22,Ж,Содержанка,whereiscoffeee
2127119278,2025-08-17 08:33:29,Часто,Да,конспекты,"Да, но мне не зашло",Не хватает времени повторять,,,,Не буду пользоваться,На веб-страничке,Да,,20,М,Менеджер по продажам,
2127120237,2025-08-17 08:37:06,Иногда,Да,"Делал схематичные конспекты, несмотря на их малый размер, на них всё равно уходит время. Хотя в это время происходит повторение, так что сложно сказать что это недостаток","Да, мне помогает",Не хватает времени повторять,,,,Не буду пользоваться,На веб-страничке,Нет,,26,М,Инженер-электроэнергетик,
2127120417,2025-08-17 08:37:43,Часто,Да,"Сразу на практике стараюсь все закреплять, пока что это самое эффективное для меня","Да, мне помогает",,Нет системы,,,До 100 р в месяц,На веб-страничке,Да,,28,Ж,Оператор),Anechka_Med
2127120525,2025-08-17 08:38:06,Иногда,Да,"Повторение, мозг несколько раз прослушивает одну и ту же информацию она откладывается и рано или поздно уже пез повторения вспоминается сама и запоминается.","Да, но мне не зашло",,,Лень,,До 500 р в месяц,Телеграм,Да,,18,М,нет,@koty3dmet
2127122856,2025-08-17 08:47:06,Иногда,Да,"Конспект, полностью им доволен","Да, мне помогает",,Нет системы,,,Не буду пользоваться,Телеграм,Да,,27,М,Разработчик,
2127124813,2025-08-17 08:53:44,Часто,Нет,,Нет,,,Лень,,До 100 р в месяц,На веб-страничке,Да,,22,М,devops ,@coffi21
2127124872,2025-08-17 08:53:57,Иногда,Да,,Нет,,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",Бесплатно,Телеграм,Да,,35,М,Управляющий точкой общепита ,
2127125698,2025-08-17 08:56:21,Часто,Да,"Конспекты, но это трудозатратно",Нет,,Нет системы,Лень,,Бесплатно,Телеграм,Да,,36,Ж,Менеджер,Keepkalmyk
2127126777,2025-08-17 08:59:20,Часто,Да,Все,Нет,Не хватает времени повторять,,,,Бесплатно,На веб-страничке,Да,Не знаю,24,М,Ай-ти,
2127129554,2025-08-17 09:07:14,Часто,Да,Конспекты и перечитывать ,Нет,,Нет системы,,,Бесплатно,Телеграм,Да,,28,М,Инженер ,
2127129905,2025-08-17 09:08:18,Часто,Да,,Нет,,Нет системы,Лень,,До 500 р в месяц,Телеграм,Да,"Чтобы Ai дополнительно к основному обучающему контенту  искал и добавлял ещё смежные знания, которые переплетаются с основными (10-20 % от основного) чтобы расширить кругозор ",29,М,Управление бизнес-процессами ,@vologin2v
2127130422,2025-08-17 09:09:54,Иногда,Да,Повторения,Нет,,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",Бесплатно,Телеграм,Да,,19,М,Программист,
2127130950,2025-08-17 09:11:31,Иногда,Нет,Нет проблемы ,Нет,,Нет системы,Лень,,Бесплатно,Телеграм,Да,Графическая связь с темами по тегам или контексту как в обсидиан ,22,М,It-специалист ,
2127130959,2025-08-17 09:11:33,Иногда,Да,,"Да, мне помогает",,Нет системы,Лень,,До 100 р в месяц,Телеграм,Да,,39,М,Инженер,
2127131356,2025-08-17 09:12:46,Часто,Нет,,Нет,Не хватает времени повторять,,,,До 100 р в месяц,На веб-страничке,Нет,"История прочитанных книг, и на каком месте закончил.
Обратный счётчик дней подписки, чьобы жаба душила пользователя больше пользоваться сервисом, ведь не зря он деньги платит.",123,М,QA,"; if 1 == 1 DROP table' --(шучу, вот он: ChistovBackend)"
2127132041,2025-08-17 09:14:44,Часто,Нет,,Нет,Не хватает времени повторять,Нет системы,,,До 500 р в месяц,Телеграм,Да,,44,Ж,Программист ,@shushnovaira 
2127134455,2025-08-17 09:21:42,Иногда,Да,"Конспекты, точечные цитаты",Нет,,Нет системы,,"Нет кого-то, кто бы контролировал этот процесс",Бесплатно,На веб-страничке,Да,,25,М,Разработчик в it,
2127135501,2025-08-17 09:24:30,Иногда,Нет,,Нет,,Нет системы,Лень,,До 100 р в месяц,Телеграм,Да,,44,М,Программист,
2127135508,2025-08-17 09:24:31,Иногда,Да,"Конспекты, мнемоника (только лень мнемоникой заниматься)","Да, мне помогает",,,Лень,,Бесплатно,На веб-страничке,Да,Ну карточки что бы повторять передает когда есть время и желание,36,М,Программист ,
2127135575,2025-08-17 09:24:42,Часто,Да,"Записываю от руки, помещаю в закладки, делаю конспекты или презентации. Стараюсь визуализировать. Делаю карточки для повторения.","Да, мне помогает",Не хватает времени повторять,,Лень,,До 500 р в месяц,Телеграм,Да,,40,Ж,Предприниматель,
2127137889,2025-08-17 09:30:57,Часто,Да,Все из перечисленных. Занимает время,"Да, но мне не зашло",Не хватает времени повторять,,Лень,,Бесплатно,На веб-страничке,Да,,33,Ж,Веб-разработчик,
2127138032,2025-08-17 09:31:23,Часто,Нет,,Нет,Не хватает времени повторять,,,,До 100 р в месяц,На веб-страничке,Нет,Ой! Я уже заполняла эту форму.,123,Ж,QA,"""name'); DELETE FROM items; SELECT \* FROM items WHERE 'a'='a"" --(that was a joke, here it is: stillalisa)"
2127140222,2025-08-17 09:37:54,Иногда,Да,,Нет,,Нет системы,Лень,,Бесплатно,Телеграм,Да,,48,М,DevOps,@zxspectrum1982
2127141939,2025-08-17 09:42:34,Иногда,Да,"Конспекты — отличный метод, но не для минутных статеек в интернете и не для художественных произведений.",Нет,,Нет системы,Лень,,До 500 р в месяц,Телеграм,Да,,24,М,Инженер-разработчик,
2127143374,2025-08-17 09:46:54,Иногда,Да,"Конспекты, повторные пересмотры видео.
В целом это работает, просто зависит от самого человека - если он хочет что-то выучить, то выучит. Ну и самое главное - это все таки использование информации на практике)","Да, мне помогает",,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",До 100 р в месяц,Телеграм,Да,"Наверное было бы круто добавить функционал подсказок ресурсов, откуда можно взять необходимую информацию.
И еще очень хорошо работают геймификация (функция условных наград). Если взять в пример популярное приложение Duolingo - там люди заходят хотя бы для того, чтобы сохранить ударный режим :))
Не обязательно брать прямой пример с этого приложения, но что-то в таком духе - было бы славным доп мотиватором к изучению и повторению",21,М,SRE-инженер,Готов участвовать - @TesBerg
2127143647,2025-08-17 09:47:37,Часто,Да,"Прослушивания того же самого текста, так я лучше запоминаю. 
Неидеально, если информация предполагает одновременно изучать график/рисунок/схему/таблицу.
Ну и не всё есть в двух форматах сразу, текст и аудио. Цифровая озвучка не заходит, только если начитывает человек. ","Да, мне помогает",Не хватает времени повторять,,Лень,,До 1000 р в месяц,Почта,Да,"1. Подбор других источников по изучаемым/повторяемым темам, либо смежным (Новые книги/статьи/конференции, с тезисами, чтоб знать, стоит изучать или нет) 
2. Смешные картинки и мемы по предмету",37,Ж,безработный) ,@Kristina_Saraeva
2127146102,2025-08-17 09:54:22,Иногда,Да,"Приложение, если ещё в игровой форме вообще Топ!! ПДД так учил, и не только. Конспекты, повторение - тоже норм. Почему не идеальны?! что подразумевается? ну когда становится во-время учёбы скучно - тогда не идеально ))",Нет,,,Лень,"Нет кого-то, кто бы контролировал этот процесс",До 100 р в месяц,Телеграм,Да,,37,М,студент,
2127147202,2025-08-17 09:57:39,Часто,Да,Конспекты (рукописные/электронные),"Да, но мне не зашло",,Нет системы,Лень,,До 1000 р в месяц,На веб-страничке,Да,"Вопросы со «звездочкой» не просто построение выданного материла, но и вопросы заставляющие подумать, выстроить цепочку, для развития логического мышления. 

Оценка уровня знаний, оценил уровень, «отправная точка» и далее наращивать глубины знаний. ",29,М,—,@Assanov_sl
2127147534,2025-08-17 09:58:38,Часто,Да,"во время учебы в колледже и школе: я писала конспекты на уроке/по книге/по источнику и тд, а вечером садилась «раскрашивать» конспектик, то есть выделять текстовыделителями, тем самым параллельно читая и повторяя конспект:) плюс для меня это еще как медитация была ахаххаха, мне в целом нравилось как красиво потом выглядели конспекты ну и потом в них проще было ориентироваться и что-то вспомнить тк выделено цветом. но тут главное было разработать систему какой цвет для чего использовался, например, термины и их определения я полностью выделяла зеленым и тд","Да, мне помогает",Не хватает времени повторять,Нет системы,Лень,,До 100 р в месяц,На веб-страничке,Да,,21,Ж,специалист по информационным системам ,@tklnkek
2127147678,2025-08-17 09:59:00,Иногда,Да,,Нет,,,Лень,,Бесплатно,Телеграм,Да,,36,М,Дизайнер ,
2127148339,2025-08-17 10:00:56,Иногда,Да,Конспекты,Нет,,Нет системы,,,До 500 р в месяц,На веб-страничке,Да,,45,Ж,Инженер,@gallinka22
2127148744,2025-08-17 10:02:03,Часто,Да,Запись некоторых материалов в obsidian,Нет,,Нет системы,Лень,,До 500 р в месяц,Телеграм,Да,,21,М, Разработчик инфраструктуры,
2127149345,2025-08-17 10:03:41,Иногда,Да,,Нет,,,Лень,,Не буду пользоваться,Телеграм,Да,,16,М,Шкильник,
2127149363,2025-08-17 10:03:44,Часто,Нет,,"Да, мне помогает",,,Лень,,До 500 р в месяц,Телеграм,Да,,16,Ж,Ученик ,
2127149853,2025-08-17 10:04:58,Часто,Да,,Нет,Не хватает времени повторять,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",Бесплатно,Телеграм,Да,,31,Ж,Тестировщик ,
2127150704,2025-08-17 10:07:22,Часто,Да,"Я пробовал повторение и конспектирование. Не идеальны они потому что мозг усваивает максимум 25 процентов информации, как говорят ученые. и нужно много раз повторять )","Да, мне помогает",,Нет системы,,,До 500 р в месяц,Телеграм,Да,,32,М,Инженер,@jeanasha21
2127151678,2025-08-17 10:10:04,Иногда,Да,,Нет,Не хватает времени повторять,Нет системы,,"Нет кого-то, кто бы контролировал этот процесс",До 1000 р в месяц,На веб-страничке,Да,,26,М,Системный аналитик,
2127152635,2025-08-17 10:12:27,Иногда,Да,,Нет,Не хватает времени повторять,,Лень,,До 500 р в месяц,Телеграм,Да,,16,Ж,Программист,
2127154098,2025-08-17 10:16:44,Часто,Да,"Конспекты, короткие заметки. Не идеальны т.к частично забываются вместе с информацией из книги ",Нет,Не хватает времени повторять,Нет системы,Лень,,До 100 р в месяц,Телеграм,Да,,18,М,студент ,
2127155149,2025-08-17 10:19:58,Иногда,Да,"конспект. большой конспект демотивирует его перечитывать.
в маленьком информации теряется",Нет,Не хватает времени повторять,Нет системы,,"Нет кого-то, кто бы контролировал этот процесс",До 100 р в месяц,Телеграм,Да,,40,Ж,юрисконсульт,
2127158467,2025-08-17 10:30:06,Часто,Да,"Ассоциации с английским хорошо работают, для большого объема теории интервалами повторяла, укладывалось в голове. ","Да, мне помогает",,,,"Нет кого-то, кто бы контролировал этот процесс",До 1000 р в месяц,Телеграм,Да,"Написать своими словами, что поняла и как запомнила, потому что если не выгрузить инфу своими словами, считай она испарилась ",35,Ж,Разработчик эл. курсов,An_anastasia
2127161113,2025-08-17 10:37:25,Иногда,Да,,Нет,,,Лень,,Бесплатно,Телеграм,Да,,27,М,Учитель,
2127161520,2025-08-17 10:38:31,Часто,Да,"Принт скрины страниц и цитат, сохранённые на телефон и повторение",Нет,,Нет системы,,,До 500 р в месяц,Телеграм,Да,Пока не могу придумать,42,Ж,Менеджер,@Zapekanova
2127162248,2025-08-17 10:40:35,Иногда,Да,Я не идеален,Нет,,,Лень,,До 500 р в месяц,Телеграм,Да,,19,М,Я не,xaven228
2127163950,2025-08-17 10:45:28,Иногда,Да,"Конспекты, они не идеальны, пишешь много, и часть потом забываешь",Нет,Не хватает времени повторять,,,,До 500 р в месяц,Телеграм,Да,,18,М,Студент,
2127165144,2025-08-17 10:48:39,Иногда,Да,,Нет,,Нет системы,,"Нет кого-то, кто бы контролировал этот процесс",До 100 р в месяц,На веб-страничке,Да,"Подборку материалов, которые бы помогли заполнить мои пробелы (соответственно и анализ этих пробелов).",31,М,Разработчик,spumer
2127166182,2025-08-17 10:51:47,Часто,Да,"тезисный конспект + пересказ;
интервальное повторение;
записки по всему дому.","Да, мне помогает",Не хватает времени повторять,,,,Не буду пользоваться,Телеграм,Да,"к сожалению как усердно не повторяй, но если знания с какого-то момента не тнтегрируются в повседневность - всë без толку",39,М,тестировщик,@cing_v
2127166509,2025-08-17 10:52:43,Часто,Да,во время чтения я подчёркиваю предложения и пишу на полях свои мысли ,Нет,,,Лень,,Бесплатно,Телеграм,Да,,22,Ж,программист ,@z_sonia
2127167565,2025-08-17 10:55:54,Никогда,Да,,"Да, но мне не зашло",,,Лень,,Не буду пользоваться,На веб-страничке,Нет,,32,Ж,Бухгалтер ,
2127167774,2025-08-17 10:56:33,Часто,Да,Конспекты. Требуется много времени для составления ,Нет,,Нет системы,Лень,,Бесплатно,Почта,Да,Не имею информации по этой теме ,50,Ж,Педагог,-
2127168881,2025-08-17 11:00:07,Часто,Да,Переписываю инфу в ноушен. Подход Zettelkasten,"Да, мне помогает",Не хватает времени повторять,,,"Нет кого-то, кто бы контролировал этот процесс",До 100 р в месяц,Телеграм,Да,,25,М,Прогер,gvenonat
